n,p,R,batch_R,cpu_baseline_scope,cpu_end_to_end_time_s,a100_streamed_full_end_to_end_time_s,speedup_cpu_over_a100,correctness_status,max_abs_p_diff,max_abs_stat_diff,compile_excluded,transfer_included,kernel_only_excluded,winner,summary_source,timing_note
5000,10000,1000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,0.24,0.7,pass_gpu_tolerance,,,true,true,true,cpu,slide decision map and decomposition figure,Slide-level speedup summary; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,50000,1000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,2.1,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,100000,1000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,2.2,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,250000,1000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,3.5,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,500000,1000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,4.7,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,10000,5000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,1.5,pass_gpu_tolerance,,,true,true,true,a100,canonical break-even README and slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,50000,5000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,2.7,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,100000,5000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,4.7,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,250000,5000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,7.0,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,500000,5000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,10.675,1.25,8.54,pass_gpu_tolerance,,,true,true,true,a100,canonical break-even README and decomposition figure,A100 time from representative decomposition figure; CPU time derived as speedup times A100 time
5000,10000,10000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,1.5,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,50000,10000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,2.9,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,100000,10000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,4.5,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,250000,10000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,7.4,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,500000,10000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,,manual_check,,,true,true,true,timeout_skip,slide decision map,A100 OOM/unavailable in committed slide map after targeted rerun; not a CPU win and not a hidden speedup.
5000,10000,50000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,1.4,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,50000,50000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,2.8,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,100000,50000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,4.6,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,250000,50000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,7.4,pass_gpu_tolerance,,,true,true,true,a100,slide decision map,Slide-level speedup summary only; raw CPU/A100 timing pair is not committed in this repository snapshot; do not treat as a raw timing row.
5000,500000,50000,8192,matched CPU matrix baseline: numpy_matrix_same_stream batched matrix path,,,,manual_check,,,true,true,true,timeout_skip,slide decision map,A100 OOM/unavailable in committed slide map after targeted rerun; not a CPU win and not a hidden speedup.
